ID,Topic No.,Topic Name,Q.No,Question,Q.Image,A,A.Image,B,B.Image,C,C.Image,D,D.Image,Answer
43,2,Attitude,17,When should you flash your headlights at other road users?,no,When showing that you're giving way,no,When showing that you're about to turn,no,When telling them that you have right of way,no,When letting them know that you're there,no,D
44,2,Attitude,18,You're approaching an unmarked crossroads. How should you deal with the junction?,no,Accelerate and keep to the middle,no,Slow down and keep to the right  ,no,Accelerate and look to the left,no,Slow down and look both ways ,no,D
45,2,Attitude,19,The conditions are good and dry. When should you use the 'two-second rule'?,no,Before restarting the engine after it has stalled,no,When checking your gap from the vehicle in front,no,Before using the 'Mirrors - Signal - Manoeuvre' routine,no,When traffic lights change to green,no,A
46,2,Attitude,20,Which colour follows the green signal at a puffin crossing?,no,Steady red,no,Flashing amber,no,Steady amber,no,Flashing green,no,C
47,2,Attitude,21,You're in a line of traffic. What action should you take if the driver behind is following very closely?,no,Ignore the driver behind and continue to travel within the speed limit,no,"Slow down, gradually increasing the gap between you and the vehicle in front",no,Signal left and wave the driver behind to come past,no,Move over to a position just left of the centre line of the road,no,B
48,2,Attitude,22,You're driving on a clear night. Which lights should you use if the national speed limit applies and there's a steady stream of oncoming traffic?,no,Full-beam headlights,no,Sidelights,no,Dipped headlights,no,Fog lights,no,C
49,2,Attitude,23,You're driving behind a large goods vehicle. What should you do if it signals left but steers to the right?,no,Slow down and left the vehicle turn,no,"Drive on, keeping to the left",no,Overtake on the right of it,no,Hold your speed and sound your horn,no,A
50,2,Attitude,24,You're driving along this road. What should you do if the red car cuts in close in front of you?,yes,Accelerate to get closer to the red car,no,Give a long blast on the horn,no,Drop back to leave the correct separation distance,no,Flash your headlights several times,no,C
51,2,Attitude,25,You're waiting in a traffic queue at night. How can you avoid dazzling drivers behind you?,no,Use the parking brake and release the footbrake,no,Keep your foot on the footbrake,no,Balance the clutch with the accelerator,no,Use the parking brake and footbrake together,no,A
52,2,Attitude,26,You're driving in traffic at the speed limit for the road. What should you do if the driver behind is trying to overtake?,no,"Move loser to the car ahead, so the driver behind has no room to overtake",no,Wave the driver behind to overtake when it's safe.,no,Keep a steady course and allow the driver behind to overtake,no,Accelerate to get away from the driver behind.,no,C
53,2,Attitude,27,What does it mean if the signs at a bus lane show no times of operation?,yes,The lane isn't in operation.,no,The lane is only in operation at peak times.,no,The lane is in operation 24 hours a day.,no,The lane is only in operation in daylight hours.,no,C
54,2,Attitude,28,What should you do when a person herding sheep asks you to stop?,no,Ignore them as they have no authority,no,Stop and switch off your engine,no,Continue on but drive slowly,no,Try to get past quickly,no,B
55,2,Attitude,29,What should you do when you're overtaking a horse and rider?,no,Sound your horn as a warning,no,Go past as quickly as possible,no,Flash your headlights as a warning,no,Go past slowly and carefully,no,D
56,2,Attitude,30,You're approaching a zebra crossing. WHat should you do if pedestrians are waiting to cross?,no,Give way to older and infirm people only,no,Slow down and prepare to stop,no,Use your headlights to indicate they can cross,no,Wave at them to cross the road,no,B
57,2,Attitude,31,What should you do if a vehicle pulls out in front of you at a junction?,no,Swerve past it and sound your horn,no,Flash your headlights and drive up close behind,no,Slow down and be ready to stop,no,Accelerate past it immediately,no,C
58,2,Attitude,32,You're approaching a red light at a puffin crossing. Pedestrians are on the crossing. When will the red light change?,no,When you start to edge forward onto the crossing,no,When the pedestrians have cleared the crossing,no,When the pedestrians push the button on the far side of the crossing,no,When a driver from the opposite direction reaches the crossing,no,B
59,2,Attitude,33,Which instrument-panel warning light would show that headlights are on main beam?,no,,yes,,yes,,yes,,yes,A
60,2,Attitude,34,When should you leave a two-second gap between your vehicle and the one in front?,yes,When it's raining,no,When it's dry,no,When it's icy,no,When it's foggy,no,B
61,2,Attitude,35,You're driving at night on an unlit road. What should you do if you're following another vehicle?,no,Flash your headlights,no,Use dipped headlights,no,Switch off your headlights,no,Use full-beam headlights,no,B
62,2,Attitude,36,What should you do if you're driving a slow-moving vehicle on a narrow winding road?,no,Keep well out to stop vehicles overtaking dangerously,no,Wave the vehicles behind to come past you if you think they can overtake quickly,no,"Pull in when you can, to let the vehicles behind overtake",no,Give a left signal when it's safe for vehicles to overtake you,no,C
63,2,Attitude,37,You're driving a car that has a diesel engine. What can a loose filler cap on your fuel tank cause?,no,It can make the engine difficult to start,no,It can make the roads slippery for other road users,no,It can improve your vehicle's fuel consumption,no,It can increase the level of exhaust emissions,no,B
64,2,Attitude,38,What should you do to avoid fuel spillage?,no,Check that your tank is only three-quarters full,no,Check that you've used a locking filler cap,no,Check that your fuel gauge is working,no,Check that your filler cap is securely fastened,no,D
65,2,Attitude,39,What style of driving causes increased risk to everyone?,no,Considerate,no,Defensive,no,Competitive,no,Responsible,no,C
