ID,Topic No.,Topic Name,Q.No,Question,Q.Image,A,A.Image,B,B.Image,C,C.Image,D,D.Image,Answer
242,5,Hazard Awareness,66,What can seriously reduce your ability to concentrate?,no,Drugs,no,Busy roads,no,Tinted windows,no,Weather conditions,no,A
243,5,Hazard Awareness,67,What must you do if your eyesight has become very poor and you're no longer able to meet the driver's eyesight requirements?,no,Tell the driver licensing authority,no,Tell your doctor,no,Tell the police,no,Tell your optician,no,A
244,5,Hazard Awareness,68,When should you use hazard warning lights?,no,When you're double-parked on a two-way A road,no,When your direction indicators aren't working,no,When warning oncoming traffic that you intend to stop,no,When your vehicle has broken down and is causing an obstruction,no,D
245,5,Hazard Awareness,69,You want to turn left at this junction. What should you do if your view of the main road is restricted?,yes,Stay well back and wait to see if anything comes,no,Build up your speed so that you can emerge quickly,no,Stop and apply the parking brake even if the road is clear,no,Approach slowly and edge out until you can see more clearly,no,D
246,5,Hazard Awareness,70,You're driving a car ftted with automatic transmission. When would you use 'kick down'?,no,To engage cruise control,no,To accelerate quickly,no,To brake progressively,no,To improve fuel economy,no,B
247,5,Hazard Awareness,71,What should you do if it's raining and you're following this lorry on a motorway?,yes,Allow a two-second separation gap,no,Switch your headlights onto main beam,no,Move into a lane that has less spray,no,Be aware of spray reducing your vision,no,D
248,5,Hazard Awareness,72,You're driving towards this left-hand bend. What danger should you be anticipating?,yes,A vehicle overtaking you,no,Mud on the road,no,The road getting narrower,no,Pedestrians walking towards you,no,D
249,5,Hazard Awareness,73,What should you do if the traffic in the left-hand lane is slowing?,yes,"Slow down, keeping a safe separation distance",no,Accelerate past the vehicles in the left-hand lane,no,Pull up on the left-hand verge,no,Move across and continue in the right-hand lane,no,A
250,5,Hazard Awareness,74,When may you use hazard warning lights?,no,When driving on a motorway to warn traffic behind of a hazard ahead,no,When you're double-parked on a two-way,no,When your direction indicators aren't working,no,When warning oncoming traffic that you intend to stop,no,A
251,5,Hazard Awareness,75,You're waiting to emerge at a junction. Your view is restricted by parked vehicles. What can help you to see traffic on the road you're joining?,no,Looking for traffic behind you,no,Reflections of traffic in windows,no,Making eye contact with other road users,no,Checking for traffic in your interior mirror,no,B
252,5,Hazard Awareness,76,What must you do if poor health affects your driving?,no,Inform your local police,no,Avoid using motorways,no,Always drive accompanied,no,Inform the licensing authority,no,D
253,5,Hazard Awareness,77,Why should the junction on the left be kept clear?,yes,To allow vehicles to enter and emerge,no,To allow the bus to reverse,no,To allow vehicles to make a U-turn,no,To allow vehicles to park,no,A
254,5,Hazard Awareness,78,What should you do if you start to feel drowsy while you're driving on a motorway?,no,Stop on the hard shoulder for a sleep,no,Open a window and stop as soon as it's safe and legal,no,Speed up to arrive at your destination sooner,no,Slow down and let other drivers overtake,no,B
