Option,QuestionId,Option Image,IsCorrect
'When you're approaching a one-way street',20,null,
'When you're approaching bends and junctions',20,null,1
'Open the window to look behind',21,null,
'Open the door to look behind',21,null,
'Look in the nearside mirror',21,null,
'Ask someone to guide you',21,null,1
'An area covered by your right-hand mirror',22,null,
'An area not covered by your headlights',22,null,
'An area covered by your left-hand mirror',22,null,
'An area not visible to the driver',22,null,1
'It will improve your safely',23,null,
'It will increase you concentration',23,null,
'It will reduce your view',23,null,
'It will divert your attention',23,null,1
"'Stop, apply the parking brake and then select a low gear'",24,null,
'Position your vehicle well to the left of the side road',24,null,
'Check that the central reservation is wide enough for your vehicle',24,null,1
'Make sure that you leave enough room for a vehicle behind',24,null,
'Lorries',25,null,
'Buses',25,null,
'Motorcyclists',25,null,1
'Coaches',25,null,
'Turn it off while you're driving in built-up areas',26,null,
'Choose a voice that you find calming',26,null,
'Only set the destination when you're lost',26,null,
'Set it before starting your journey',26,null,1
'Stop and wait for the green light',27,null,
'Stop and wait for the red light',27,null,
'Give way to pedestrians waiting to cross',27,null,
'Give way to pedestrians already on the crossing',27,null,1
'Another vehicle may be coming',28,null,1
'They may not be looking',28,null,
'It's safer for you to carry on',28,null,
'They may not be ready to cross',28,null,
'Your engine will overheat',29,null,
'Your mirrors will need adjusting',29,null,
'Your view of the road ahead will be restricted',29,null,1
'Your satnav will be confused',29,null,
'Your brakes will overheat.',30,null,
'Your fuel consumption will be increased.',30,null,
'Your engine will overheat.',30,null,
'Your view ahead will be reduced.',30,null,1
'One second',31,null,
'Two seconds',31,null,
'Three seconds',31,null,
'Four seconds',31,null,1
'Speed up',32,null,
'Slow down',32,null,1
'Hold your speed',32,null,
'Change direction',32,null,
'Motorway maintenance ',33,null,
'Bomb disposal ',33,null,1
'Snow plough',33,null,
'Breakdown recovery ',33,null,
'Pull over as soon as it's safe to do so',34,null,1
'Accelerate hard to get away from it',34,null,
'Maintain your speed and course',34,null,
'Brake harshly and stop well out into the road',34,null,
'Fire engine',35,null,
'Road gritter',35,null,
'Ambulance',35,null,
'Doctor's car',35,null,1
'Tram drivers',36,null,1
'Bus drivers',36,null,
'Lorry drivers',36,null,
'Taxi drivers',36,null,
'Cars',37,null,
'Cycles',37,null,1
'Buses',37,null,
'Lorries',37,null,
'To alert others to your presence',38,null,1
'To allow you right of way',38,null,
'To greet other road users',38,null,
'To signal your annoyance',38,null,
'In the right-hand lane',39,null,1
'In the left-hand lane',39,null,
"'In either lane, depending on the traffic'",39,null,
'Just left of the centre line',39,null,
'To allow other drivers to pull out in front of you',40,null,
'To give a better view into the road that you're joining',40,null,
'To help other road users know what you intend to do',40,null,1
'To allow drivers to pass you on the right',40,null,
'Toucan',41,null,1
'Puffin',41,null,
'Pelican',41,null,
'Zebra',41,null,
'Accelerate to make a gap behind you',42,null,
'Touch the brakes sharply to show your brake lights',42,null,
'Maintain your speed to prevent the vehicle from overtaking',42,null,
'Allow the vehicle to overtake',42,null,1
'When showing that you're giving way',43,null,
'When showing that you're about to turn',43,null,
'When telling them that you have right of way',43,null,
'When letting them know that you're there',43,null,1
'Accelerate and keep to the middle',44,null,
'Slow down and keep to the right  ',44,null,
'Accelerate and look to the left',44,null,
'Slow down and look both ways ',44,null,1
'Before restarting the engine after it has stalled',45,null,1
'When checking your gap from the vehicle in front',45,null,
'Before using the 'Mirrors - Signal - Manoeuvre' routine',45,null,
'When traffic lights change to green',45,null,
'Steady red',46,null,
'Flashing amber',46,null,
'Steady amber',46,null,1
'Flashing green',46,null,
'Ignore the driver behind and continue to travel within the speed limit',47,null,
"'Slow down, gradually increasing the gap between you and the vehicle in front'",47,null,1
'Signal left and wave the driver behind to come past',47,null,
'Move over to a position just left of the centre line of the road',47,null,
'Full-beam headlights',48,null,
'Sidelights',48,null,
'Dipped headlights',48,null,1
'Fog lights',48,null,
'Slow down and left the vehicle turn',49,null,1
"'Drive on, keeping to the left'",49,null,
'Overtake on the right of it',49,null,
'Hold your speed and sound your horn',49,null,
'Accelerate to get closer to the red car',50,null,
'Give a long blast on the horn',50,null,
'Drop back to leave the correct separation distance',50,null,1
'Flash your headlights several times',50,null,
'Use the parking brake and release the footbrake',51,null,1
'Keep your foot on the footbrake',51,null,
'Balance the clutch with the accelerator',51,null,
'Use the parking brake and footbrake together',51,null,
"'Move loser to the car ahead, so the driver behind has no room to overtake'",52,null,
'Wave the driver behind to overtake when it's safe.',52,null,
'Keep a steady course and allow the driver behind to overtake',52,null,1
'Accelerate to get away from the driver behind.',52,null,
'The lane isn't in operation.',53,null,
'The lane is only in operation at peak times.',53,null,
'The lane is in operation 24 hours a day.',53,null,1
'The lane is only in operation in daylight hours.',53,null,
'Ignore them as they have no authority',54,null,
'Stop and switch off your engine',54,null,1
'Continue on but drive slowly',54,null,
'Try to get past quickly',54,null,
'Sound your horn as a warning',55,null,
'Go past as quickly as possible',55,null,
'Flash your headlights as a warning',55,null,
'Go past slowly and carefully',55,null,1
'Give way to older and infirm people only',56,null,
'Slow down and prepare to stop',56,null,1
'Use your headlights to indicate they can cross',56,null,
'Wave at them to cross the road',56,null,
'Swerve past it and sound your horn',57,null,
'Flash your headlights and drive up close behind',57,null,
'Slow down and be ready to stop',57,null,1
'Accelerate past it immediately',57,null,
'When you start to edge forward onto the crossing',58,null,
'When the pedestrians have cleared the crossing',58,null,1
'When the pedestrians push the button on the far side of the crossing',58,null,
'When a driver from the opposite direction reaches the crossing',58,null,
'',59,'https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/59.A.png',1
'',59,'https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/59.B.png',
'',59,'https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/59.C.png',
'',59,'https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/59.D.png',
'When it's raining',60,null,
'When it's dry',60,null,1
'When it's icy',60,null,
'When it's foggy',60,null,
'Flash your headlights',61,null,
'Use dipped headlights',61,null,1
'Switch off your headlights',61,null,
'Use full-beam headlights',61,null,
'Keep well out to stop vehicles overtaking dangerously',62,null,
'Wave the vehicles behind to come past you if you think they can overtake quickly',62,null,
"'Pull in when you can, to let the vehicles behind overtake'",62,null,1
'Give a left signal when it's safe for vehicles to overtake you',62,null,
'It can make the engine difficult to start',63,null,
'It can make the roads slippery for other road users',63,null,1
'It can improve your vehicle's fuel consumption',63,null,
'It can increase the level of exhaust emissions',63,null,
'Check that your tank is only three-quarters full',64,null,
'Check that you've used a locking filler cap',64,null,
'Check that your fuel gauge is working',64,null,
'Check that your filler cap is securely fastened',64,null,1
'Considerate',65,null,
'Defensive',65,null,
'Competitive',65,null,1
'Responsible',65,null,
'The vehicle's stopping distance would increase',66,null,1
'The flash rate of the vehicle's indicators would increase',66,null,
'The vehicle's gear change mechanism would become stiff',66,null,
'The vehicle's headlights would aim high',66,null,
'Between 10.00 pm and 6.00 am in a built-up area',67,null,
'At any time in a built-up area',67,null,
'Between 11.30 pm and 7.00 am in a built-p area',67,null,1
'Between 11.30 pm and 6.00 am on any road',67,null,
'It's powered by gravity',68,null,
'It's powered by diesel',68,null,
'It's powered by electricity',68,null,1
'It's powered by unleaded petrol ',68,null,
'To raise the speed limits',69,null,
'To help the traffic flow',69,null,1
'To provide better parking',69,null,
'To allow lorries to load more freely',69,null,
'To separate lanes of traffic',70,null,1
'To increase traffic speed',70,null,
'To allow pedestrians to cross',70,null,
'To reduce traffic speed',70,null,
'To reduce fuel consumption',71,null,
'To reduce the risk of fire',71,null,
'To reduce harmful exhaust gases',71,null,1
'To reduce engine wear',71,null,
'After any lengthy journey',72,null,
'After travelling at high speed',72,null,
'When tyres are hot',72,null,
'When tyres are cold',72,null,1
'When its tyres are under-inflated',73,null,1
'When its tyres are of different makes',73,null,
'When its tyres are over-inflated',73,null,
'When its tyres are new',73,null,
'Bury it in your garden.',74,null,
'Put it in the dustbin.',74,null,
'Take it to a local-authority disposal site.',74,null,1
'Leave it on waste land.',74,null,
'Poor steering control',75,null,
'Accelerating around bends',75,null,
'Staying in high gears',75,null,
'Harsh braking and accelerating',75,null,1
'Battery acid',76,null,
'Distilled water',76,null,1
'Engine oil',76,null,
'Engine coolant',76,null,
'When there are continuous white lines in the middle of the road',77,null,
'When the speed limit exceeds 30 mph',77,null,1
'When you're facing oncoming traffic',77,null,
'When you're near a bus stop',77,null,
'Only use it for short journeys',78,null,
'Don't service it',78,null,
'Drive faster than normal',78,null,
'Keep engine revs low',78,null,1
'A faulty gearbox',79,null,
'A faulty braking system',79,null,1
'A faulty electrical system',79,null,
'A faulty exhaust system',79,null,
'The top of the battery',80,null,
'Halfway up the battery',80,null,
'Just below the cell plates',80,null,
'Just above the cell plates',80,null,1
'Check your vehicle handbook.',81,null,
'Ask your local garage.',81,null,
'Use a route planner on the internet.',81,null,1
'Consult a travel agent.',81,null,
'You'll have an easier journey.',82,null,1
'You'll have a more stressful journey.',82,null,
'Your journey time will be longer.',82,null,
'It will cause more traffic congestion.',82,null,
'Your journey will use more fuel',83,null,
'Your journey will take longer',83,null,
'Your journey will be more hazardous',83,null,
'Your journey will have fewer delays. ',83,null,1
'Your original route may be blocked',84,null,1
'Your maps may have different scales',84,null,
'You may find you hvae to pay a congestion charge',84,null,
'You may get held up by a tractor',84,null,
'Allow plenty of time for the trip.',85,null,1
'Plan to travel at busy times.',85,null,
'Avoid roads with the national speed limit.',85,null,
'Prevent other drivers from overtaking.',85,null,
'Reduced pollution',86,null,
'Increased fuel consumption',86,null,1
'Reduced exhaust emissions',86,null,
'Increased road safety',86,null,
'Anti-freeze level',87,null,
'Brake-fluid level',87,null,1
'Battery-water level',87,null,
'Radiator-coolant level',87,null,
'Check the brake-fluid level.',88,null,
'Check the footbrake free play.',88,null,
'Check that the parking brake is released.',88,null,
'Have the brakes checked immediately.',88,null,1
'A fault in the braking system',89,null,1
'The engine oil is low',89,null,
'A rear light has failed',89,null,
'Your seat belt isn't fastened',89,null,
'To prevent wear on the pedals',90,null,
'To maintain control of the pedals ',90,null,1
'To enable you to adjust your seat',90,null,
'To enable you to walk for assistance if you break down',90,null,
'An air-sprung seat',91,null,
'Anti-lock brakes',91,null,
'A collapsible steering wheel',91,null,
'A properly adjusted head restraint',91,null,1
'The tyres are worn',92,null,
'The tyres are under inflated',92,null,
'The vehicle is on soft ground ',92,null,
'The shock absorbers are worn ',92,null,1
'There will be less wind noise',93,null,
'The engine will use more oil',93,null,
'The car will accelerate faster',93,null,
'Fuel consumption will increase',93,null,1
"'If they have any large, deep cuts in the side wall'",94,null,
'If they're of different makes',94,null,1
'If they have different tread patterns',94,null,
'Default Answer D',94,null,
'1 mm',95,null,
'1.6 mm',95,null,1
'2.5 mm',95,null,
'4 mm',95,null,
'The children's parents',96,null,
"'You, the driver'",96,null,1
'The front-seat passenger',96,null,
'The children',96,null,
'By accelerating harshly',97,null,
'By accelerating gently',97,null,1
'By using leaded gently',97,null,
'By riving faster',97,null,
'By having your vehicle serviced regularly',98,null,1
'By revving the engine in the lower gears',98,null,
'By keeping an empty roof rack on your vehicle',98,null,
'By driving at higher speeds where possible',98,null,
'Drive in a bus lane',99,null,
'Use a car with a smaller engine',99,null,
'Walk or cycle on short journeys',99,null,1
'Travel by car at all times',99,null,
'Reducing your speed',100,null,
'Driving on motorways',100,null,
'Using different brands of fuel ',100,null,
'Under-inflated tyres',100,null,1
'The gearbox',101,null,
'The transmission',101,null,
'The door locks',101,null,
'The seat belts',101,null,1
'About 5%',102,null,
'About 15%',102,null,1
'About 75%',102,null,
'About 100%',102,null,
'Increase the pressure in your tyres.',103,null,
'Have the brakes checked as soon as possible.',103,null,1
'Change gear and pump the brake pedal.',103,null,
'Use your parking brake at the same time.',103,null,
'The steering will pull to one side',104,null,
'The steering will vibrate',104,null,1
'The brakes will fail',104,null,
'The tyres will deflate',104,null,
'The gearbox',105,null,
'The engine',105,null,
'The brakes',105,null,
'The tyres',105,null,1
'Put them in a carrier bag',106,null,
'Park near a school entrance',106,null,
'Lock them out of sight',106,null,1
'Park near a bus stop',106,null,
'Always keeping the headlights on',107,null,
'Fitting reflective glass windows',107,null,
'Always keeping the interior light on',107,null,
'Etching the registration number on the windows',107,null,1
'The car dealer's details',108,null,
'The owner's manual',108,null,
'The service record',108,null,
'The vehicle registration document',108,null,1
'Park near a busy junction',109,null,
'Park in a housing estate',109,null,
'Lock it and remove the key',109,null,1
'Leave the left indicator on',109,null,
'Driving more slowly',110,null,1
'Accelerating rapidly',110,null,
'Late and heavy braking',110,null,
'Staying in lower gears',110,null,
'Take it to a local-authority site',111,null,1
'Pour it down a drain',111,null,
'Tip it into a hole in the ground',111,null,
'Put it in your dustbin',111,null,
'To recover the cost of expensive garage equipment',112,null,
'To help protect the environment against pollution',112,null,1
'To discover which fuel supplier is used the most ',112,null,
'To make sure diesel and petrol engines emit the same fumes',112,null,
'Use narrow side streets',113,null,
'Brake heavily',113,null,
'Use busy routes',113,null,
'Anticipate well ahead',113,null,1
'Your vehicle will be cheaper to insure.',114,null,
'Your vehicle tax will be lower.',114,null,
'Your vehicle will remain reliable.',114,null,1
'Your journey times will be reduced.',114,null,
'Maintain a reduced speed throughout.',115,null,1
'Accelerate quickly between the humps.',115,null,
'Always keep to the maximum legal speed.',115,null,
'Drive slowly at school times only.',115,null,
'Before a long journey',116,null,1
'When the engine is hot',116,null,
'Early in the morning',116,null,
'Every time you drive the car',116,null,
"'No, not unless you stay with your car'",117,null,
"'Yes, in order to drop off a passenger'",117,null,
"'Yes, if you don't block people from crossing'",117,null,
"'No, not under any circumstances'",117,null,1
'Leave the engine running',118,null,
'Switch the engine off but leave the key in',118,null,
'Lock it and remove the key',118,null,1
'Park near a traffic warden',118,null,
'It makes it easy to find your car',119,null,
'It helps deter thieves',119,null,1
'It stops the car being exposed to bad weather',119,null,
'It doesn't cost anything to park here',119,null,
'Alongside a parking meter',120,null,
'In front of a property entrance',120,null,1
'On your driveway',120,null,
'In a marked parking space',120,null,
'To make you more comfortable',121,null,
'To help you avoid neck injury ',121,null,1
'To help you relax',121,null,
'To help you maintain your driving position',121,null,
'Avoid using the cruise control',122,null,
'Use the air conditioning whenever you drive',122,null,
'Use the gears to slow the vehicle',122,null,
'Avoid making a lot of short journeys',122,null,1
'Drive more quickly',123,null,
'Over-rev in a low gear',123,null,
'Walk or cycle',123,null,1
'Drive short journeys',123,null,
'Take all valuables with you',124,null,1
'Park near a taxi rank',124,null,
'Place any valuables on the floor',124,null,
'Park near a fire station',124,null,
'Park in an unlit area',125,null,
'Leave the radio turned on',125,null,
'Park near a busy junction',125,null,
'Install a security-coded radio',125,null,1
'Leave it in a well-lit-area',126,null,1
'Park in a quiet side road',126,null,
'Don't engage the steering lock',126,null,
'Park in a poorly lit area',126,null,
'Being a member of a vehicle breakdown organisation',127,null,
'Registering with a Vehicle Watch scheme',127,null,1
'Passing an advanced driving test',127,null,
'Taking car maintenance classes',127,null,
'In the fuel tank',128,null,
'In the air filter',128,null,
'On the cooling system',128,null,
'On the exhaust system',128,null,1
'Reduction in journey times by about 15%',129,null,
'Increase in fuel consumption by about 15%',129,null,
'Reduction in fuel consumption by about 15%',129,null,1
'Increase in journey times by about 15%',129,null,
'Using lower gears as often as possible',130,null,
'Accelerating sharply in each gear',130,null,
'Using each gear in turn',130,null,
'Missing out some gears',130,null,1
'Through the legal enforcement of speed regulations',131,null,
'By increasing the number of cars on the road',131,null,
'Through increased fuel bills',131,null,
'By reducing exhaust emissions ',131,null,1
'Increased fuel consumption',132,null,
'Improved road safety',132,null,1
'Damage to the environment',132,null,
'Increased exhaust emissions',132,null,
'1 mm',133,null,
'1.6 mm',133,null,1
'2 mm',133,null,
'2.6 mm',133,null,
'When you're braking',134,null,
'When you're coasting',134,null,
'When you're accelerating',134,null,1
'When you're turning sharply',134,null,
'When they're under 14 years old',135,null,
'When they're under 1.5 metres (5 feet) in height',135,null,
'When they're sitting in the rear seat',135,null,
'When they're exempt for medical reasons',135,null,1
'An adult passenger',136,null,
'The children',136,null,
"'You, the driver'",136,null,1
'Your friend',136,null,
'The clutch pedal will lock',137,null,
'The air intake will become blocked',137,null,
'The timing belt will slip ',137,null,
'The oil seals will leak ',137,null,1
'Behind the passenger seat',138,null,
'Using an adult seat belt',138,null,1
'Sharing a belt with an adult',138,null,
'Between two other children',138,null,
'They must use an adult seat belt',139,null,
'They must be able to fasten their own seat belt. ',139,null,
'They must use a suitable child restraint',139,null,1
'They must be able to see clearly out of the front window',139,null,
'Switch off the engine',140,null,1
'Apply the steering lock',140,null,
'Switch off the radio',140,null,
'Use your headlights',140,null,
'Deactivate the airbag',141,null,1
'Turn the seat to face sideways',141,null,
'Ask a passenger to hold the baby',141,null,
'Put the child in an adult seat belt',141,null,
'If you'll be parking for less than five minutes',142,null,
'If the battery keeps going flat',142,null,
'When parked in a 20 mph zone',142,null,
'Never if you're away from the vehicle',142,null,1
'The ESC system has activated',143,null,1
'The ESC system has a fault',143,null,
'The ESC system is running a routine test',143,null,
'The ESC system is switched off',143,null,
'Two times',144,null,
'Three times',144,null,
'Five times',144,null,
'Ten times',144,null,1
'Using the brakes',145,null,
'Moving off on a hill',145,null,
'Turning into a narrow road',145,null,
'Passing pedal cyclists',145,null,1
'To improve your view of the road',146,null,1
'To overcome the effect of the road's slop',146,null,
'To let faster traffic from behind overtake',146,null,
'To be positioned safely if you skid',146,null,
'Accelerate and keep to a high speed for a short time',147,null,
'Go slowly while gently applying the brakes',147,null,1
'Avoid using the brakes at all for a few miles',147,null,
'Stop for at least an hour to allow them time to dry',147,null,
'The suspension',148,null,
'The exhaust emissions',148,null,
'The fuel consumption',148,null,
'The tyre grip',148,null,1
'On a narrow country lane',149,null,
'On an open stretch of road',149,null,1
'On a busy stretch of road',149,null,
"'On a long, straight road'",149,null,
'Flash your headlights as a warning',150,null,
'Try to overtake safely as soon as you can',150,null,
'Drop back to regain a safe distance',150,null,1
'Stay close to the other vehicle until it moves on',150,null,
'Increase your distance from the vehicle in front',151,null,1
'Brake sharply',151,null,
'Switch on your hazard warning lights',151,null,
'Move onto the hard shoulder and stop',151,null,
'Keep close to the vehicle in front',152,null,
'Use main beam instead of dipped headlights',152,null,
'Keep up with the faster vehicles',152,null,
'Keep a safe distance from the vehicle in front',152,null,1
'Choose an appropriate lane in good time',153,null,1
'Switch lanes to make better progress',153,null,
'Increase speed to get through the contraflow more quickly',153,null,
'Follow other motorists closely to avoid long queues',153,null,
'Drive at a slow speed in the highest gear possible',154,null,1
'Use the parking brake if the wheels start to slip',154,null,
'Brake gently and repeatedly',154,null,
'Drive in a low gear at all times',154,null,
'The weather',155,null,
'The driver',155,null,1
'The vehicle',155,null,
'The road',155,null,
'Coast into the bend',156,null,
'Apply your parking brake',156,null,
'Firmly use your footbrake',156,null,
'Slow down gently',156,null,1
'The aerial',157,null,
'The windows',157,null,1
'The bumper',157,null,
'The boot',157,null,
'Using the car's lowest gear',158,null,
'Using a higher gear than normal',158,null,1
'Using a high engine speed',158,null,
'Using the parking brake and footbrake together',158,null,
'Brake firmly and quickly',159,null,
'Be ready to steer sharply',159,null,
'Use sidelights only',159,null,
'Brake gently in plenty of time',159,null,1
'Improved grip on the road',160,null,1
'Lower fuel consumption',160,null,
'Shorter stopping distances',160,null,
'Improved passenger comfort',160,null,
'Select a high gear and use the brakes carefully',161,null,
'Select a high gear and use the brakes firmly',161,null,
'Select a low gear and use the brakes carefully',161,null,1
'Select a low gear and avoid using the brakes',161,null,
'Turn the steering wheel towards the kerb',162,null,1
'Park close to the bumper of another car',162,null,
'Park with two wheels on the kerb',162,null,
'Turn the steering wheel away from the kerb',162,null,
'Move across to the left-hand side of the road',163,null,
'Wait for any pedestrians to cross',163,null,
'Check your mirror and slow down',163,null,1
'Stop and check both pavements',163,null,
'Dry',164,null,
'Loose',164,null,1
'Firm',164,null,
'Smooth',164,null,
'Slowly and gently',165,null,
'Slowly but firmly',165,null,
'Rapidly and gently',165,null,
'Rapidly and firmly',165,null,1
'Check your tyre pressures',166,null,
'Switch on your hazard warning lights',166,null,
'Accelerate briskly',166,null,
'Test your brakes',166,null,1
'There's less wind noise',167,null,
'There's less tyre noise',167,null,1
'There's less transmission noise',167,null,
'There's less engine noise',167,null,
'The engine will stall',168,null,
'The steering will feel very heavy',168,null,
'The engine noise will increase ',168,null,
'The steering will feel very light ',168,null,1
'In the rain',169,null,1
'In fog',169,null,
'At night',169,null,
'In strong winds',169,null,
'A two-second time gap ',170,null,1
'One car length',170,null,
'Two metres (6 feet 6 inches)',170,null,
'Two car lengths',170,null,
'By changing to a lower gear',171,null,1
'By selecting reverse gear',171,null,
'By changing to a higher gear',171,null,
'By selecting neutral gear',171,null,
'Keep pumping the footbrake to prevent skidding',172,null,
'Brake normally but grip the steering wheel tightly',172,null,
'Brake promptly and firmly until you've stopped',172,null,1
'Apply the parking brake to reduce the stopping distance',172,null,
'Hazard warning lights',173,null,
'Dipped headlights',173,null,1
'Rear fog lights',173,null,
'Sidelights',173,null,
'Improvement in control',174,null,
'Easier steering',174,null,
'Reduction in control',174,null,1
'Increased fuel consumption',174,null,
'Wear a hi-visibility jacket',175,null,
'Have a caffeinated drink',175,null,
'Allow more time',175,null,1
'Reduce your tyre pressures',175,null,
'Pass closely',176,null,
'Pass very slowly',176,null,
'Pass widely',176,null,1
'Pass immediately',176,null,
'On a motorway sign',177,null,
'On a railway bridge',177,null,
'On a large goods vehicle',177,null,1
'On a diversion sign',177,null,
'Vehicles turning right',178,null,
'Vehicles doing U-turns',178,null,
'The cyclist crossing the road',178,null,1
'Parked cars around the corner',178,null,
'The parked car (arrowed A)',179,null,1
'The pedestrian waiting to cross (arrowed B)',179,null,
'The moving car (arrowed C)',179,null,
'The car turning (arrowed D)',179,null,
'Continue at the same speed',180,null,
'Sound the horn',180,null,
'Drive through quickly',180,null,
'Slow down and get ready to stop',180,null,1
'The uneven road surface',181,null,
'Traffic following behind',181,null,
'Doors opening on parked cars',181,null,1
'Empty parking spaces',181,null,
'The road will go steeply uphill',182,null,
'The road will go steeply downhill',182,null,
'The road will bend sharply to the left',182,null,1
'The road will bend sharply to the right',182,null,
'Try to overtake before the cyclist gets to the junction',183,null,
'Flash your headlights at the cyclist',183,null,
'Slow down and allow the cyclist to turn',183,null,1
'Rev your engine so the cyclist knows you're following behind',183,null,
'The road surface is poor',184,null,
'The footpath is narrow',184,null,
'The kerbs are high',184,null,
'The view is restricted',184,null,1
'Bicycles',185,null,
'Buses',185,null,1
'Motorcycles',185,null,
'Cars',185,null,
'Lorry ',186,null,1
'Bicycle',186,null,
'Car',186,null,
'Motorcycle',186,null,
"'Stop behind the line, then edge forward to see clearly'",187,null,1
"'Stop beyond the line, at a point where you can see clearly'",187,null,
'Stop only if there's traffic on the main road',187,null,
'Stop only if you're turning right',187,null,
'Ignore the error and stay calm',188,null,1
'Flash your lights to show your annoyance',188,null,
'Sound your horn to show your annoyance',188,null,
'Overtake as soon as possible',188,null,
'They won't be able to obtain car insurance',189,null,
'They'll need glasses to read road signs',189,null,
'They'll take longer to react to hazards',189,null,1
'They won't signal at junctions',189,null,
"'Yes, you should plan to stop every half an hour'",190,null,
"'Yes, regular stops help concentration'",190,null,1
"'No, you'll be less tired if you get there as soon as possible'",190,null,
"'No, only fuel stops will be needed'",190,null,
'Go over it quickly',191,null,
'Go over it carefully',191,null,
'Stop before the barrier ',191,null,1
'Switch on your hazard warning lights',191,null,
'Brake and stop only for large vehicles',192,null,
'Brake sharply to a stop before looking',192,null,
'Be prepared to brake sharply to a stop',192,null,
'Be prepared to stop for any traffic',192,null,1
'Wave towards the pedestrians who are waiting to cross',193,null,
'Wait for the pedestrian in the road to cross',193,null,1
'Quickly drive behind the pedestrian in the road',193,null,
'Tell the pedestrian in the road she shouldn't have crossed',193,null,
'Overtake after checking your mirrors and signalling',194,null,
'Only consider overtaking when you're past the junction',194,null,1
'Accelerate quickly to overtake before reaching the junction',194,null,
'Slow down and prepare to overtake on the left',194,null,
'Move out to the centre of the road before going through',195,null,
'Find another route; this one is only for high vehicles',195,null,
'Be prepared to give way to large vehicles in the middle of the road',195,null,1
'Move across to the right-hand side before going through',195,null,
'They give a wider field of vision',196,null,1
'They totally cover blind spots',196,null,
'They make it easier to judge the speed of the traffic behind',196,null,
'They make the traffic behind look bigger',196,null,
"'Cautiously approach the lorry, then overtake on either side'",197,null,
'Follow the lorry until you can leave the motorway',197,null,
'Use the right-hand lane and overtake the lorry normally',197,null,
'Approach with care and overtake on the left of the lorry',197,null,1
'Flash your lights to alert the driver',198,null,
'Sound your horn before overtaking',198,null,
'Overtake on the left if there's room',198,null,
'Stay behind and don't overtake',198,null,1
'Glare from the sun may affect the driver's vision',199,null,
'The black car may stop suddenly',199,null,
'The bus may move out into the road',199,null,1
'Oncoming vehicles will assume the driver is turning right',199,null,
'A broken-down vehicle',200,null,
'A school bus',200,null,1
'An ice-cream van',200,null,
'A private ambulance',200,null,
